0	18	36
0	3	212
0	1	732
1	8	111
1	0	66
1	11	29
1	18	14
1	16	65
2	1	17
2	10	38
2	13	122
2	16	211
2	0	390
2	17	78
2	8	11
3	2	273
3	4	29
3	11	42
4	3	122
4	15	12
4	19	102
4	8	32
5	4	211
5	0	62
5	7	132
5	11	871
6	10	122
6	1	200
6	12	81
6	3	41
6	0	20
6	13	11
7	5	5
7	2	210
7	15	74
8	1	95
8	10	2
8	6	120
8	19	11
9	11	121
9	19	653
9	2	925
10	1	81
10	11	219
10	3	90
10	15	211
11	18	122
11	7	390
11	4	98
11	6	122
11	2	11
12	8	9
11	16	121
12	16	26
12	0	719
12	19	832
13	19	219
13	9	182
13	8	13
13	2	22
14	5	22
15	10	73
15	17	98
16	19	190
16	0	77
16	10	21
16	11	93
16	8	200
17	9	33
17	15	940
17	7	29
17	19	121
17	14	33
18	1	322
18	4	74
18	5	219
18	9	111
